branch,buy,crawl_mode,currency,date,gold_type,provider,raw_hash,reference_date,sell,source,spread,timestamp,unit
Hồ Chí Minh,140000000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,145000000.0,sjc_official,5000000.0,2026-06-08T07:08:22.880000+00:00,VND/lượng
Hồ Chí Minh,138800000.0,raw_range,VND,2026-06-08,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,143800000.0,sjc_official,5000000.0,2026-06-08T08:10:51.007000+00:00,VND/lượng
Hồ Chí Minh,138800000.0,raw_range,VND,2026-06-09,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,143800000.0,sjc_official,5000000.0,2026-06-09T01:24:01.250000+00:00,VND/lượng
Hồ Chí Minh,136300000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,141300000.0,sjc_official,5000000.0,2026-06-10T01:35:29.053000+00:00,VND/lượng
Hồ Chí Minh,135000000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,140000000.0,sjc_official,5000000.0,2026-06-10T01:58:04.243000+00:00,VND/lượng
Hồ Chí Minh,134400000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,139400000.0,sjc_official,5000000.0,2026-06-10T02:43:19.490000+00:00,VND/lượng
Hồ Chí Minh,133800000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,138800000.0,sjc_official,5000000.0,2026-06-10T03:26:58.693000+00:00,VND/lượng
Hồ Chí Minh,133300000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,138300000.0,sjc_official,5000000.0,2026-06-10T06:14:44.793000+00:00,VND/lượng
Hồ Chí Minh,133800000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,138800000.0,sjc_official,5000000.0,2026-06-10T07:12:21.143000+00:00,VND/lượng
Hồ Chí Minh,133300000.0,raw_range,VND,2026-06-10,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,138300000.0,sjc_official,5000000.0,2026-06-10T08:26:44.927000+00:00,VND/lượng
Hồ Chí Minh,131000000.0,raw_range,VND,2026-06-11,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,136000000.0,sjc_official,5000000.0,2026-06-11T01:30:28.810000+00:00,VND/lượng
Hồ Chí Minh,131500000.0,raw_range,VND,2026-06-11,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,136500000.0,sjc_official,5000000.0,2026-06-11T06:58:38.980000+00:00,VND/lượng
Hồ Chí Minh,132000000.0,raw_range,VND,2026-06-11,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,137000000.0,sjc_official,5000000.0,2026-06-11T07:42:15.433000+00:00,VND/lượng
Hồ Chí Minh,132800000.0,raw_range,VND,2026-06-11,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,137800000.0,sjc_official,5000000.0,2026-06-11T08:04:42.597000+00:00,VND/lượng
Hồ Chí Minh,133400000.0,raw_range,VND,2026-06-11,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,138400000.0,sjc_official,5000000.0,2026-06-11T08:37:32.777000+00:00,VND/lượng
Hồ Chí Minh,136400000.0,raw_range,VND,2026-06-12,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,141400000.0,sjc_official,5000000.0,2026-06-12T01:26:47.120000+00:00,VND/lượng
Hồ Chí Minh,137900000.0,raw_range,VND,2026-06-12,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,142400000.0,sjc_official,4500000.0,2026-06-12T02:00:43.347000+00:00,VND/lượng
Hồ Chí Minh,139900000.0,raw_range,VND,2026-06-12,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,143900000.0,sjc_official,4000000.0,2026-06-12T02:29:07.520000+00:00,VND/lượng
Hồ Chí Minh,141400000.0,raw_range,VND,2026-06-12,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,144900000.0,sjc_official,3500000.0,2026-06-12T03:10:46.780000+00:00,VND/lượng
Hồ Chí Minh,142400000.0,raw_range,VND,2026-06-12,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,145400000.0,sjc_official,3000000.0,2026-06-12T03:42:51.720000+00:00,VND/lượng
Hồ Chí Minh,144000000.0,raw_range,VND,2026-06-13,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147000000.0,sjc_official,3000000.0,2026-06-13T01:30:22.593000+00:00,VND/lượng
Hồ Chí Minh,147000000.0,raw_range,VND,2026-06-15,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,149500000.0,sjc_official,2500000.0,2026-06-15T01:18:10.423000+00:00,VND/lượng
Hồ Chí Minh,148000000.0,raw_range,VND,2026-06-15,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,150500000.0,sjc_official,2500000.0,2026-06-15T02:14:15.763000+00:00,VND/lượng
Hồ Chí Minh,148000000.0,raw_range,VND,2026-06-16,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,150500000.0,sjc_official,2500000.0,2026-06-16T01:27:56.207000+00:00,VND/lượng
Hồ Chí Minh,149500000.0,raw_range,VND,2026-06-16,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151500000.0,sjc_official,2000000.0,2026-06-16T03:48:35.363000+00:00,VND/lượng
Hồ Chí Minh,149800000.0,raw_range,VND,2026-06-17,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151800000.0,sjc_official,2000000.0,2026-06-17T01:22:12.693000+00:00,VND/lượng
Hồ Chí Minh,148800000.0,raw_range,VND,2026-06-17,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151300000.0,sjc_official,2500000.0,2026-06-17T08:19:05.463000+00:00,VND/lượng
Hồ Chí Minh,148800000.0,raw_range,VND,2026-06-18,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151300000.0,sjc_official,2500000.0,2026-06-18T01:28:55.540000+00:00,VND/lượng
Hồ Chí Minh,145800000.0,raw_range,VND,2026-06-19,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148800000.0,sjc_official,3000000.0,2026-06-19T01:31:51.777000+00:00,VND/lượng
Hồ Chí Minh,144800000.0,raw_range,VND,2026-06-19,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147800000.0,sjc_official,3000000.0,2026-06-19T01:42:02.340000+00:00,VND/lượng
Hồ Chí Minh,144300000.0,raw_range,VND,2026-06-19,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147300000.0,sjc_official,3000000.0,2026-06-19T03:08:15.737000+00:00,VND/lượng
