asset,available_from,date,high,low,note,open,series_id,source,unit,value,volume
gld_spdr_gold_etf,2016-11-02,2016-11-01,123.21,122.57,no_shares_outstanding,122.8,GLD,yfinance_ticker_v2,usd_per_share,122.73,13384300.0
gld_spdr_gold_etf,2016-11-03,2016-11-02,124.76,123.56,no_shares_outstanding,123.76,GLD,yfinance_ticker_v2,usd_per_share,123.64,15692400.0
gld_spdr_gold_etf,2016-11-04,2016-11-03,124.33,123.35,no_shares_outstanding,123.36,GLD,yfinance_ticker_v2,usd_per_share,124.3,10093100.0
gld_spdr_gold_etf,2016-11-05,2016-11-04,124.54,124.04,no_shares_outstanding,124.4,GLD,yfinance_ticker_v2,usd_per_share,124.39,8594600.0
gld_spdr_gold_etf,2016-11-08,2016-11-07,122.71,121.88,no_shares_outstanding,122.66,GLD,yfinance_ticker_v2,usd_per_share,122.15,10015000.0
gld_spdr_gold_etf,2016-11-09,2016-11-08,123.09,121.36,no_shares_outstanding,122.12,GLD,yfinance_ticker_v2,usd_per_share,121.64,9480600.0
gld_spdr_gold_etf,2016-11-10,2016-11-09,124.35,121.11,no_shares_outstanding,124.3,GLD,yfinance_ticker_v2,usd_per_share,121.56,18236500.0
gld_spdr_gold_etf,2016-11-11,2016-11-10,121.54,119.38,no_shares_outstanding,121.52,GLD,yfinance_ticker_v2,usd_per_share,119.75,22268000.0
gld_spdr_gold_etf,2016-11-12,2016-11-11,119.69,116.23,no_shares_outstanding,119.65,GLD,yfinance_ticker_v2,usd_per_share,117.1,20381800.0
gld_spdr_gold_etf,2016-11-15,2016-11-14,117.14,115.49,no_shares_outstanding,116.12,GLD,yfinance_ticker_v2,usd_per_share,116.11,20729400.0
gld_spdr_gold_etf,2016-11-16,2016-11-15,117.24,116.29,no_shares_outstanding,116.46,GLD,yfinance_ticker_v2,usd_per_share,117.12,9348600.0
gld_spdr_gold_etf,2016-11-17,2016-11-16,117.27,116.58,no_shares_outstanding,117.27,GLD,yfinance_ticker_v2,usd_per_share,116.77,5486100.0
gld_spdr_gold_etf,2016-11-18,2016-11-17,117.22,115.44,no_shares_outstanding,116.91,GLD,yfinance_ticker_v2,usd_per_share,116.17,10342300.0
gld_spdr_gold_etf,2016-11-19,2016-11-18,115.77,114.96,no_shares_outstanding,115.52,GLD,yfinance_ticker_v2,usd_per_share,115.15,10444300.0
gld_spdr_gold_etf,2016-11-22,2016-11-21,115.94,115.29,no_shares_outstanding,115.72,GLD,yfinance_ticker_v2,usd_per_share,115.58,6654200.0
gld_spdr_gold_etf,2016-11-23,2016-11-22,115.79,114.98,no_shares_outstanding,115.72,GLD,yfinance_ticker_v2,usd_per_share,115.54,6391900.0
gld_spdr_gold_etf,2016-11-24,2016-11-23,113.88,112.65,no_shares_outstanding,113.87,GLD,yfinance_ticker_v2,usd_per_share,113.25,20982100.0
gld_spdr_gold_etf,2016-11-26,2016-11-25,113.51,112.35,no_shares_outstanding,113.42,GLD,yfinance_ticker_v2,usd_per_share,112.61,5345900.0
gld_spdr_gold_etf,2016-11-29,2016-11-28,113.84,112.77,no_shares_outstanding,113.23,GLD,yfinance_ticker_v2,usd_per_share,113.8,5655400.0
gld_spdr_gold_etf,2016-11-30,2016-11-29,113.48,112.69,no_shares_outstanding,112.76,GLD,yfinance_ticker_v2,usd_per_share,113.27,7438600.0
gld_spdr_gold_etf,2016-12-01,2016-11-30,112.79,111.5,no_shares_outstanding,112.69,GLD,yfinance_ticker_v2,usd_per_share,111.75,10925500.0
gld_spdr_gold_etf,2016-12-02,2016-12-01,111.99,110.63,no_shares_outstanding,111.11,GLD,yfinance_ticker_v2,usd_per_share,111.54,10237000.0
gld_spdr_gold_etf,2016-12-03,2016-12-02,112.32,111.78,no_shares_outstanding,111.89,GLD,yfinance_ticker_v2,usd_per_share,112.14,7416500.0
gld_spdr_gold_etf,2016-12-06,2016-12-05,112.11,110.31,no_shares_outstanding,111.15,GLD,yfinance_ticker_v2,usd_per_share,111.54,10187900.0
gld_spdr_gold_etf,2016-12-07,2016-12-06,112.03,111.19,no_shares_outstanding,111.69,GLD,yfinance_ticker_v2,usd_per_share,111.43,5533700.0
gld_spdr_gold_etf,2016-12-08,2016-12-07,112.5,111.77,no_shares_outstanding,112.13,GLD,yfinance_ticker_v2,usd_per_share,111.83,4901800.0
gld_spdr_gold_etf,2016-12-09,2016-12-08,111.87,111.46,no_shares_outstanding,111.72,GLD,yfinance_ticker_v2,usd_per_share,111.57,5977800.0
