asset,available_from,date,high,low,note,open,series_id,source,unit,value,volume
gold_futures_front_continuous,2010-03-24,2010-03-23,1103.5,1103.5,no_shares_outstanding,1103.5,GC=F,yfinance_ticker_v2,usd_per_share,1103.5,16.0
gold_futures_front_continuous,2010-03-25,2010-03-24,1092.4,1085.5,no_shares_outstanding,1088.6,GC=F,yfinance_ticker_v2,usd_per_share,1088.6,9.0
gold_futures_front_continuous,2010-03-26,2010-03-25,1092.7,1086.7,no_shares_outstanding,1092.7,GC=F,yfinance_ticker_v2,usd_per_share,1092.7,8.0
gold_futures_front_continuous,2010-03-27,2010-03-26,1104.2,1104.2,no_shares_outstanding,1104.2,GC=F,yfinance_ticker_v2,usd_per_share,1104.2,5.0
gold_futures_front_continuous,2010-03-30,2010-03-29,1110.3,1110.3,no_shares_outstanding,1110.3,GC=F,yfinance_ticker_v2,usd_per_share,1110.3,158733.0
gold_futures_front_continuous,2010-03-31,2010-03-30,1112.9,1101.1,no_shares_outstanding,1109.7,GC=F,yfinance_ticker_v2,usd_per_share,1104.5,56533.0
gold_futures_front_continuous,2010-04-01,2010-03-31,1118.7,1102.0,no_shares_outstanding,1103.1,GC=F,yfinance_ticker_v2,usd_per_share,1113.3,5950.0
gold_futures_front_continuous,2010-04-02,2010-04-01,1127.7,1111.3,no_shares_outstanding,1125.1,GC=F,yfinance_ticker_v2,usd_per_share,1125.1,2696.0
gold_futures_front_continuous,2010-04-06,2010-04-05,1133.3,1119.9,no_shares_outstanding,1122.3,GC=F,yfinance_ticker_v2,usd_per_share,1132.9,567.0
gold_futures_front_continuous,2010-04-07,2010-04-06,1138.5,1122.7,no_shares_outstanding,1130.8,GC=F,yfinance_ticker_v2,usd_per_share,1135.1,2490.0
gold_futures_front_continuous,2010-04-08,2010-04-07,1153.0,1132.6,no_shares_outstanding,1152.3,GC=F,yfinance_ticker_v2,usd_per_share,1152.3,1342.0
gold_futures_front_continuous,2010-04-09,2010-04-08,1152.3,1144.0,no_shares_outstanding,1152.2,GC=F,yfinance_ticker_v2,usd_per_share,1152.2,254.0
gold_futures_front_continuous,2010-04-10,2010-04-09,1164.8,1150.5,no_shares_outstanding,1161.1,GC=F,yfinance_ticker_v2,usd_per_share,1161.1,505.0
gold_futures_front_continuous,2010-04-13,2010-04-12,1169.0,1154.6,no_shares_outstanding,1161.6,GC=F,yfinance_ticker_v2,usd_per_share,1161.6,483.0
gold_futures_front_continuous,2010-04-14,2010-04-13,1157.0,1145.0,no_shares_outstanding,1152.8,GC=F,yfinance_ticker_v2,usd_per_share,1152.8,278.0
gold_futures_front_continuous,2010-04-15,2010-04-14,1160.6,1151.2,no_shares_outstanding,1159.0,GC=F,yfinance_ticker_v2,usd_per_share,1159.0,162.0
gold_futures_front_continuous,2010-04-16,2010-04-15,1159.8,1151.0,no_shares_outstanding,1157.5,GC=F,yfinance_ticker_v2,usd_per_share,1159.7,179.0
gold_futures_front_continuous,2010-04-17,2010-04-16,1160.0,1130.4,no_shares_outstanding,1136.3,GC=F,yfinance_ticker_v2,usd_per_share,1136.3,483.0
gold_futures_front_continuous,2010-04-20,2010-04-19,1137.1,1124.0,no_shares_outstanding,1135.2,GC=F,yfinance_ticker_v2,usd_per_share,1135.2,145.0
gold_futures_front_continuous,2010-04-21,2010-04-20,1145.8,1136.0,no_shares_outstanding,1138.6,GC=F,yfinance_ticker_v2,usd_per_share,1138.6,80.0
gold_futures_front_continuous,2010-04-22,2010-04-21,1150.0,1138.4,no_shares_outstanding,1148.2,GC=F,yfinance_ticker_v2,usd_per_share,1148.2,68.0
gold_futures_front_continuous,2010-04-23,2010-04-22,1144.0,1133.6,no_shares_outstanding,1142.3,GC=F,yfinance_ticker_v2,usd_per_share,1142.3,213.0
gold_futures_front_continuous,2010-04-24,2010-04-23,1153.1,1153.1,no_shares_outstanding,1153.1,GC=F,yfinance_ticker_v2,usd_per_share,1153.1,40.0
gold_futures_front_continuous,2010-04-27,2010-04-26,1160.1,1151.4,no_shares_outstanding,1160.1,GC=F,yfinance_ticker_v2,usd_per_share,1153.5,108.0
gold_futures_front_continuous,2010-04-28,2010-04-27,1170.7,1148.6,no_shares_outstanding,1152.8,GC=F,yfinance_ticker_v2,usd_per_share,1161.7,213.0
gold_futures_front_continuous,2010-04-29,2010-04-28,1171.3,1171.3,no_shares_outstanding,1171.3,GC=F,yfinance_ticker_v2,usd_per_share,1171.3,299.0
gold_futures_front_continuous,2010-04-30,2010-04-29,1171.2,1164.0,no_shares_outstanding,1168.4,GC=F,yfinance_ticker_v2,usd_per_share,1168.4,166.0
gold_futures_front_continuous,2010-05-01,2010-04-30,1181.3,1170.0,no_shares_outstanding,1180.1,GC=F,yfinance_ticker_v2,usd_per_share,1180.1,146.0
gold_futures_front_continuous,2010-05-04,2010-05-03,1187.5,1177.3,no_shares_outstanding,1178.6,GC=F,yfinance_ticker_v2,usd_per_share,1182.7,90.0
gold_futures_front_continuous,2010-05-05,2010-05-04,1191.8,1168.3,no_shares_outstanding,1168.6,GC=F,yfinance_ticker_v2,usd_per_share,1168.6,94.0
gold_futures_front_continuous,2010-05-06,2010-05-05,1177.2,1159.2,no_shares_outstanding,1174.6,GC=F,yfinance_ticker_v2,usd_per_share,1174.6,98.0
gold_futures_front_continuous,2010-05-07,2010-05-06,1210.6,1175.9,no_shares_outstanding,1196.9,GC=F,yfinance_ticker_v2,usd_per_share,1196.9,79.0
gold_futures_front_continuous,2010-05-08,2010-05-07,1210.8,1194.6,no_shares_outstanding,1210.0,GC=F,yfinance_ticker_v2,usd_per_share,1210.0,112.0
gold_futures_front_continuous,2010-05-11,2010-05-10,1203.8,1189.2,no_shares_outstanding,1200.4,GC=F,yfinance_ticker_v2,usd_per_share,1200.4,118.0
gold_futures_front_continuous,2010-05-12,2010-05-11,1233.5,1201.5,no_shares_outstanding,1219.9,GC=F,yfinance_ticker_v2,usd_per_share,1219.9,201.0
gold_futures_front_continuous,2010-05-13,2010-05-12,1246.5,1227.1,no_shares_outstanding,1242.7,GC=F,yfinance_ticker_v2,usd_per_share,1242.7,213.0
gold_futures_front_continuous,2010-05-14,2010-05-13,1240.0,1228.7,no_shares_outstanding,1235.3,GC=F,yfinance_ticker_v2,usd_per_share,1228.8,37.0
gold_futures_front_continuous,2010-05-15,2010-05-14,1227.4,1227.4,no_shares_outstanding,1227.4,GC=F,yfinance_ticker_v2,usd_per_share,1227.4,99.0
gold_futures_front_continuous,2010-05-18,2010-05-17,1235.9,1225.2,no_shares_outstanding,1233.3,GC=F,yfinance_ticker_v2,usd_per_share,1227.7,49.0
gold_futures_front_continuous,2010-05-19,2010-05-18,1216.1,1208.2,no_shares_outstanding,1214.3,GC=F,yfinance_ticker_v2,usd_per_share,1214.3,73.0
gold_futures_front_continuous,2010-05-20,2010-05-19,1192.6,1192.6,no_shares_outstanding,1192.6,GC=F,yfinance_ticker_v2,usd_per_share,1192.6,75.0
gold_futures_front_continuous,2010-05-21,2010-05-20,1191.8,1179.4,no_shares_outstanding,1187.8,GC=F,yfinance_ticker_v2,usd_per_share,1187.8,297.0
gold_futures_front_continuous,2010-05-22,2010-05-21,1175.7,1175.7,no_shares_outstanding,1175.7,GC=F,yfinance_ticker_v2,usd_per_share,1175.7,177.0
gold_futures_front_continuous,2010-05-25,2010-05-24,1193.8,1193.8,no_shares_outstanding,1193.8,GC=F,yfinance_ticker_v2,usd_per_share,1193.8,14.0
gold_futures_front_continuous,2010-05-26,2010-05-25,1200.0,1195.6,no_shares_outstanding,1197.8,GC=F,yfinance_ticker_v2,usd_per_share,1197.8,9.0
