asset,date,raw_hash,series_id,source,unit,value
vnindex,2011-04-14,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,460.6
vnindex,2011-04-15,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,461.0
vnindex,2011-04-18,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,455.5
vnindex,2011-04-19,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,453.7
vnindex,2011-04-20,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,458.5
vnindex,2011-04-21,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,460.3
vnindex,2011-04-22,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,456.5
vnindex,2011-04-25,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,465.6
vnindex,2011-04-26,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,461.9
vnindex,2011-04-27,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,469.3
vnindex,2011-04-28,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,472.9
vnindex,2011-04-29,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,480.1
vnindex,2011-05-04,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,486.6
vnindex,2011-05-05,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,479.3
vnindex,2011-05-06,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,472.7
vnindex,2011-05-09,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,477.5
vnindex,2011-05-10,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,481.3
vnindex,2011-05-11,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,483.2
vnindex,2011-05-12,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,482.1
vnindex,2011-05-13,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,479.7
vnindex,2011-05-16,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,471.5
vnindex,2011-05-17,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,464.4
vnindex,2011-05-18,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,454.9
vnindex,2011-05-19,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,444.9
vnindex,2011-05-20,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,432.9
vnindex,2011-05-23,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,417.8
vnindex,2011-05-24,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,402.6
vnindex,2011-05-25,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,386.4
vnindex,2011-05-26,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,398.0
vnindex,2011-05-27,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,410.8
vnindex,2011-05-30,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,412.1
vnindex,2011-05-31,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,421.4
vnindex,2011-06-01,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,435.7
vnindex,2011-06-02,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,450.6
vnindex,2011-06-03,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,443.4
vnindex,2011-06-06,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,433.8
vnindex,2011-06-07,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,443.7
vnindex,2011-06-08,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,439.6
vnindex,2011-06-09,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,444.0
vnindex,2011-06-10,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,445.0
vnindex,2011-06-13,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,442.7
vnindex,2011-06-14,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,441.5
vnindex,2011-06-15,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,441.5
vnindex,2011-06-16,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,445.2
vnindex,2011-06-17,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,438.9
vnindex,2011-06-20,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,431.6
vnindex,2011-06-21,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,442.7
vnindex,2011-06-22,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,439.6
vnindex,2011-06-23,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,434.8
vnindex,2011-06-24,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,433.4
vnindex,2011-06-27,ff27ce2d4f2ab5902daca1cb9cfb2e2b7c9a0e1a89ff6724b3431811e68ecb39,VNINDEX,vnstock_vci,index,434.3
