date,phase,horizon_months,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2023-03-16,validation,1,1,sarimax_exog,-0.0301683278061572,0.2500180054710257,-0.0332389846783055,False,False,0,1,-0.0097087378640776,0.0,-0.0097087378640776,0.5,-0.1
2023-03-17,validation,1,1,sarimax_exog,-0.0301161491132683,0.2503888484382325,-0.0338366963967709,False,False,0,1,-0.0081906180193596,0.0,-0.0081906180193596,0.5,-0.1
2023-03-18,validation,1,1,sarimax_exog,-0.0304459295166367,0.2480499519599013,-0.0413996055432265,False,False,0,1,-0.0148148148148148,0.0,-0.0148148148148148,0.5,-0.1
2023-03-19,validation,1,1,sarimax_exog,-0.0304004481981546,0.2483718240008339,-0.0422631348944698,False,False,0,1,-0.017037037037037,0.0,-0.017037037037037,0.5,-0.1
2023-03-20,validation,1,1,sarimax_exog,-0.030252516087132,0.2494202798304927,-0.0443408411210052,False,False,0,1,-0.0177514792899408,0.0,-0.0177514792899408,0.5,-0.1
2023-03-21,validation,1,1,sarimax_exog,-0.0295151650477553,0.2546810790603665,-0.0463767864673849,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-22,validation,1,1,sarimax_exog,-0.0294614507866945,0.255066573664388,-0.0431886932265376,False,False,0,1,-0.0119136262099777,0.0,-0.0119136262099777,0.5,-0.1
2023-03-23,validation,1,1,sarimax_exog,-0.0301700208003695,0.2500059779524686,-0.042346005143098,False,False,0,1,-0.0133828996282527,0.0,-0.0133828996282527,0.5,-0.1
2023-03-24,validation,1,1,sarimax_exog,-0.029818340031918,0.2525109976246684,-0.0425277823521458,False,False,0,1,-0.0148478099480326,0.0,-0.0148478099480326,0.5,-0.1
2023-03-25,validation,1,1,sarimax_exog,-0.0293618986766716,0.255781841966742,-0.0444192512525355,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-26,validation,1,1,sarimax_exog,-0.0294968832055503,0.2548122492787108,-0.0442322742021694,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-27,validation,1,1,sarimax_exog,-0.0295014720647171,0.254779321392067,-0.0430353385586182,False,False,0,1,-0.0148478099480326,0.0,-0.0148478099480326,0.5,-0.1
2023-03-28,validation,1,1,sarimax_exog,-0.0308909020703806,0.2449126476409253,-0.0427618647092444,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-29,validation,1,1,sarimax_exog,-0.030880703147036,0.2449843158445193,-0.0408119549669203,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-30,validation,1,1,sarimax_exog,-0.0299921045570664,0.251271623619685,-0.0417408797436384,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-03-31,validation,1,1,sarimax_exog,-0.0290571505583916,0.2579779068282872,-0.0421214453360493,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-04-01,validation,1,1,sarimax_exog,-0.0284569777849948,0.2623312744055831,-0.0418681294867955,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-04-02,validation,1,1,sarimax_exog,-0.0287242479371548,0.2603879872782606,-0.0419089084770537,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
2023-04-03,validation,1,1,sarimax_exog,-0.0271633338570774,0.2718410322151476,-0.0419941892430414,False,False,0,1,-0.014115898959881,0.0,-0.014115898959881,0.5,-0.1
