model,horizon_days,fold,phase,mae,rmse,directional_accuracy,pinball_loss
sklearn_gbr_q05,63,2,validation,,,,0.018705582793585158
sklearn_gbr_q10,63,2,validation,,,,0.020807482146451846
sklearn_gbr_q50,63,2,validation,,,,0.025606671229543576
sklearn_gbr_q90,63,2,validation,,,,0.014050796389420526
lightgbm_q10,63,2,validation,,,,0.021806603038241903
catboost_q10,63,2,validation,,,,0.02192600418636644
ridge,63,3,test,0.12414101203347917,0.14688609900178198,0.5835616438356165,
elastic_net,63,3,test,0.12229022005124231,0.14266678216517945,0.4876712328767123,
random_forest,63,3,test,0.20301478907895687,0.21924411767147772,0.09863013698630137,
lightgbm_mean,63,3,test,0.16290761589203834,0.17936169824351547,0.136986301369863,
xgboost_mean,63,3,test,0.14613867568492642,0.16353982976408146,0.1095890410958904,
catboost_mean,63,3,test,0.16866102647289777,0.1828998606836606,0.136986301369863,
sklearn_gbr_q05,63,3,test,,,,0.008991802904053336
sklearn_gbr_q10,63,3,test,,,,0.02163194825853903
sklearn_gbr_q50,63,3,test,,,,0.06182151483169866
sklearn_gbr_q90,63,3,test,,,,0.05574424037128781
lightgbm_q10,63,3,test,,,,0.01695766721879895
catboost_q10,63,3,test,,,,0.01840638131211611
ridge,63,4,test,0.13452938286169114,0.16572210737537096,0.4418604651162791,
elastic_net,63,4,test,0.13673579722541726,0.16660762632699022,0.4263565891472868,
random_forest,63,4,test,0.13895588025735744,0.15170598429932855,0.15503875968992248,
lightgbm_mean,63,4,test,0.14080770763326114,0.15534972673174932,0.15503875968992248,
xgboost_mean,63,4,test,0.14342043640065452,0.15600500823282976,0.16279069767441862,
catboost_mean,63,4,test,0.15560355404542586,0.16976591792939838,0.15503875968992248,
sklearn_gbr_q05,63,4,test,,,,0.05688166410629193
sklearn_gbr_q10,63,4,test,,,,0.08206593011967066
sklearn_gbr_q50,63,4,test,,,,0.07397423792627092
sklearn_gbr_q90,63,4,test,,,,0.02167056683922483
lightgbm_q10,63,4,test,,,,0.09736565310937488
catboost_q10,63,4,test,,,,0.09553849446493284
ridge,105,1,validation,0.109010147663761,0.1250703744398093,0.273972602739726,
elastic_net,105,1,validation,0.09635074958169945,0.11209271425370196,0.27945205479452057,
random_forest,105,1,validation,0.05494678080730862,0.0711842101087502,0.3589041095890411,
lightgbm_mean,105,1,validation,0.0607120978050237,0.07758873332919126,0.3589041095890411,
xgboost_mean,105,1,validation,0.071831245160256,0.0830875008080523,0.3589041095890411,
catboost_mean,105,1,validation,0.064808214154413,0.07795438835475807,0.3589041095890411,
sklearn_gbr_q05,105,1,validation,,,,0.00402247750899156
sklearn_gbr_q10,105,1,validation,,,,0.007651351179756554
sklearn_gbr_q50,105,1,validation,,,,0.030616046762780177
sklearn_gbr_q90,105,1,validation,,,,0.024338318753509527
lightgbm_q10,105,1,validation,,,,0.00733076532886548
catboost_q10,105,1,validation,,,,0.006891101551991839
ridge,105,2,validation,0.08885209289561864,0.10617171379849168,0.5983606557377049,
elastic_net,105,2,validation,0.0777511406421438,0.09135459846741767,0.5956284153005464,
random_forest,105,2,validation,0.07502053731037375,0.09612317511405963,0.6666666666666666,
lightgbm_mean,105,2,validation,0.07058384275975348,0.0934192283130028,0.6666666666666666,
xgboost_mean,105,2,validation,0.06942673249690698,0.09055960644567958,0.6666666666666666,
catboost_mean,105,2,validation,0.07231909575275296,0.09249358783678724,0.6502732240437158,
