asset,available_from,date,note,series_id,source,unit,value
geopolitical_risk_proxy_vix,2010-06-25,2010-06-25,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,28.53
geopolitical_risk_proxy_vix,2010-06-28,2010-06-28,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,29.0
geopolitical_risk_proxy_vix,2010-06-29,2010-06-29,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,34.13
geopolitical_risk_proxy_vix,2010-06-30,2010-06-30,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,34.54
geopolitical_risk_proxy_vix,2010-07-01,2010-07-01,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,32.86
geopolitical_risk_proxy_vix,2010-07-02,2010-07-02,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,30.12
geopolitical_risk_proxy_vix,2010-07-06,2010-07-06,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,29.65
geopolitical_risk_proxy_vix,2010-07-07,2010-07-07,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.84
geopolitical_risk_proxy_vix,2010-07-08,2010-07-08,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.71
geopolitical_risk_proxy_vix,2010-07-09,2010-07-09,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.98
geopolitical_risk_proxy_vix,2010-07-12,2010-07-12,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.43
geopolitical_risk_proxy_vix,2010-07-13,2010-07-13,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.56
geopolitical_risk_proxy_vix,2010-07-14,2010-07-14,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.89
geopolitical_risk_proxy_vix,2010-07-15,2010-07-15,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.14
geopolitical_risk_proxy_vix,2010-07-16,2010-07-16,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.25
geopolitical_risk_proxy_vix,2010-07-19,2010-07-19,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.97
geopolitical_risk_proxy_vix,2010-07-20,2010-07-20,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.93
geopolitical_risk_proxy_vix,2010-07-21,2010-07-21,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.64
geopolitical_risk_proxy_vix,2010-07-22,2010-07-22,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.63
geopolitical_risk_proxy_vix,2010-07-23,2010-07-23,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.47
geopolitical_risk_proxy_vix,2010-07-26,2010-07-26,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.73
geopolitical_risk_proxy_vix,2010-07-27,2010-07-27,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.19
geopolitical_risk_proxy_vix,2010-07-28,2010-07-28,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.25
geopolitical_risk_proxy_vix,2010-07-29,2010-07-29,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,24.13
geopolitical_risk_proxy_vix,2010-07-30,2010-07-30,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,23.5
geopolitical_risk_proxy_vix,2010-08-02,2010-08-02,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.01
