effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2017-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2017-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2017-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2017-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2017-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2017-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2017: 2017-01-28),domestic_vietnam,high,
,,2018-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,low,
,,2018-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,low,
,,2018-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,low,
,,2018-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,low,
,,2018-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,low,
,,2018-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,medium,
,,2018-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,medium,
,,2018-02-09,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,medium,
,,2018-02-10,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,medium,
,,2018-02-11,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
,,2018-02-12,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
,,2018-02-13,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
,,2018-02-14,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
,,2018-02-15,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
